size,merge_time,count_time,comb_time,shell_time,heap_time,binary_insertion_time
13,0.04911422729492188,1.3489723205566406,0.032901763916015625,0.0209808349609375,0.0438690185546875,0.0247955322265625
34,0.13375282287597656,0.6780624389648438,0.10704994201660156,0.06985664367675781,0.1621246337890625,0.07510185241699219
42,0.18095970153808594,1.3489723205566406,0.13113021850585938,0.09822845458984376,0.2129077911376953,0.10538101196289062
46,0.1990795135498047,1.1289119720458984,0.17786026000976562,0.1049041748046875,0.2460479736328125,0.1118183135986328
49,0.2129077911376953,1.3949871063232422,0.1780986785888672,0.11420249938964845,0.2620220184326172,0.1201629638671875
52,0.22983551025390625,1.4221668243408203,0.16999244689941406,0.10704994201660156,0.28705596923828125,0.13017654418945312
56,0.2529621124267578,1.7919540405273438,0.25916099548339844,0.29277801513671875,0.3781318664550781,0.15401840209960938
57,0.2651214599609375,0.9958744049072266,0.1971721649169922,0.14090538024902344,0.3199577331542969,0.14829635620117188
68,0.31685829162597656,0.6308555603027344,0.26702880859375,0.17404556274414062,0.392913818359375,0.1971721649169922
69,0.34880638122558594,1.1279582977294922,0.28228759765625,0.18787384033203125,0.43392181396484375,0.21409988403320312
75,0.3681182861328125,0.5507469177246094,0.30493736267089844,0.1959800720214844,0.4489421844482422,0.2312660217285156
78,0.3740787506103516,1.1379718780517578,0.2899169921875,0.21409988403320312,0.476837158203125,0.23293495178222656
84,0.40793418884277344,0.6499290466308594,0.3209114074707031,0.22721290588378906,0.5319118499755859,0.2682209014892578
88,0.4220008850097656,1.3980865478515625,0.33283233642578125,0.2472400665283203,0.5347728729248047,0.28324127197265625
91,0.4558563232421875,0.07510185241699219,0.32591819763183594,0.22125244140625,0.5660057067871094,0.270843505859375
94,0.4701614379882813,0.9899139404296876,0.3561973571777344,0.2589225769042969,0.5948543548583984,0.3020763397216797
97,0.5009174346923828,1.3628005981445312,0.43392181396484375,0.2779960632324219,0.6170272827148438,0.3159046173095703
101,1.0349750518798828,1.6508102416992188,0.8139610290527344,0.3409385681152344,0.7538795471191406,0.3867149353027344
104,0.5400180816650391,1.416921615600586,0.4200935363769531,0.2911090850830078,0.6761550903320312,0.3478527069091797
110,0.5660057067871094,0.6542205810546875,0.5099773406982422,0.3352165222167969,0.7321834564208984,0.37789344787597656
129,0.6792545318603516,1.1439323425292969,0.6031990051269531,0.39076805114746094,0.8771419525146484,0.4580020904541016
136,0.8490085601806641,1.5900135040283203,0.8797645568847656,0.5271434783935547,1.1608600616455078,0.5819797515869141
137,0.7269382476806641,1.0020732879638672,0.5950927734375,0.41604042053222656,0.9458065032958984,0.4990100860595703
160,0.8692741394042969,1.1200904846191406,0.6978511810302734,0.5249977111816406,1.1751651763916016,0.6079673767089844
163,0.8928775787353516,0.7853507995605469,0.7562637329101562,0.5459785461425781,1.1980533599853516,0.6299018859863281
